1532,I Was So Young  and You Were So Beautiful,Bill Charlap,234.373,47.859,0.155
1533,Journey Into Melody - 2007 Digital Remaster,Stanley Turrentine,294.94,59.385,0.205
1407,Don't You Cry For Me,Cobi,256.333,60.391,0.342
1545,When Sunny Gets Blue,McCoy Tyner,282.32,60.483,0.102
1563,I Remember Clifford,Lee Morgan,428.973,61.758,0.172
1543,Can't Help Loving,Beegie Adair,221.733,63.637,0.103
1550,Eleanor,Hank Jones,289.693,63.938,0.0906
1577,My Little Brown Book,Duke Ellington,323.2,64.97,0.235
475,Long Heels Red Bottoms,Trina,217.783,64.992,0.644
1513,I'll Let You Know,David Hazeltine,408.6,65.003,0.205
1562,Isadora,Christian Scott,376.573,65.125,0.19
1565,You Go To My Head,Art Pepper,258.04,65.23,0.289
807,Tupelo (Pt. 1) - Single Version,Albert King,175.867,66.711,0.466
1877,Nocturne No.1 In B Flat Minor  Op.9 No.1,Frédéric Chopin,336,67.584,0.0378
177,New Slaves,Kanye West,256.093,68.456,0.325
1584,Peas Pudding Hot,The Kids Band,51.547,69.009,0.932
304,Monster Mash,"Bobby ""Boris"" Pickett",192.04,69.77,0.708
790,Fool,Perfume Genius,235.747,71.302,0.0576
260,Pony,Pretty Sister,216.771,71.607,0.601
1787,Tattooed Heart,Ariana Grande,194.707,72.28,0.231
110,He's So Fine - 2000 Digital Remaster,The Chiffons,111.27,72.496,0.842
1603,String Quintet in C Major  Op. 29: II. Adagio molto espressivo,Ludwig van Beethoven,649.415,72.695,0.0886
1032,Small Town Boy,Dustin Lynch,206.573,73.033,0.702
301,Rill Rill,Sleigh Bells,229.893,73.048,0.803
66,Sentimental Trash,Sweet Valley,186.397,73.061,0.259
1271,Priceless,for KING & COUNTRY,208.52,73.946,0.648
422,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,313.787,74.04,0.261
1227,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,313.787,74.04,0.261
54,Wishes,Beach House,286.96,74.749,0.186
1220,Stitches,Shawn Mendes,206.88,74.784,0.73
1446,Freesol (feat. Skyler Stonestreet),Seven Lions,210.884,74.827,0.423
1728,End Of The Road,Boyz II Men,348.893,74.849,0.453
1045,Zac Brown Band - Hot Country,Various Artists,16.042,74.923,0.421
1536,The Nearness of You,Joshua Redman,1004.627,74.933,0.19
2013,Like A Bitch - Kill The Noise Remix,Kill The Noise,274.404,74.976,0.211
1068,May We All,Florida Georgia Line,226.173,75.019,0.637
1731,A Song For Mama,Boyz II Men,301.587,75.019,0.162
3,Xanny Family,Future,185.707,75.044,0.173
1499,Human,Rag'n'Bone Man,200.187,75.09,0.539
402,Money Money,Horace Andy,141,75.286,0.72
507,The Kids Were Wrong,Memoryhouse,252.707,75.461,0.726
53,Coming Home,Leon Bridges,215.613,75.548,0.532
548,Under Mi Sensi,Barrington Levy,190.36,75.571,0.494
1245,Forgiven,Crowder,236.667,75.976,0.295
77,Uncast Shadow Of A Southern Myth,Parquet Courts,386.76,76.27,0.324
1912,I Try,Macy Gray,239.44,76.403,0.755
396,5ft7,Tonstartssbandht,205.5,76.467,0.193
1423,Dead Presidents,Rick Ross,267.72,76.493,0.448
1522,For Wee Folks,Joey Alexander,388.04,76.952,0.235
1272,Alive In You - Studio Version,Jesus Culture,239.999,77.013,0.286
133,9,Willow,253.8,77.021,0.16
1950,The Lady In Red,Chris de Burgh,259.04,77.092,0.495
1452,Wildcard,Mickey Valen,195.252,77.351,0.454
1566,Gloomy Sunday,Branford Marsalis,763.467,77.401,0.183
1982,Party Monster,The Weeknd,249.213,77.487,0.173
591,Dum Dum,Baauer,121.874,77.505,0.606
445,Gucci Gucci,Kreayshawn,187.293,77.516,0.897
1416,All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill,223.973,77.521,0.254
1237,Chain Breaker,Zach Williams,195.907,77.857,0.382
312,Disco Devil,"Lee ""Scratch"" Perry",472.013,77.92,0.527
1863,Heavy,Birdtalker,264.151,77.926,0.255
1937,Complicated,Avril Lavigne,244.507,77.987,0.43
1405,Morning Call - Remix Version,Ibadi,227.827,77.996,0.354
724,Step,Vampire Weekend,251.627,78.008,0.62
1427,Game Ain't Based On Sympathy,Rick Ross,224.707,78.063,0.516
1408,Waves - Acoustic,Dean Lewis,248.176,78.103,0.162
1594,Icy  Creamy Ice Cream,Barney,87.705,78.158,0.851
1723,Don't Let Go (Love),En Vogue,291.88,78.311,0.561
825,Motherless Child,Romare,311.892,78.507,0.292
1551,Angel Eyes,Tommy Flanagan  Ron Carter & Tony Williams,348.533,78.553,0.132
1421,Idols Become Rivals,Rick Ross,341.68,78.829,0.399
1798,Perfect Picture,Bea Miller,187.973,79.016,0.519
1418,Ima Boss - feat. Rick Ross,Meek Mill,250.24,79.092,0.334
1236,Hills and Valleys (The Valleys Version),Tauren Wells,250.123,79.277,0.421
276,It All Feels Right,Washed Out,245.88,79.337,0.239
1066,Tin Man,Miranda Lambert,259.28,79.456,0.297
1834,Ultimate,Lindsay Lohan,186.867,79.513,0.533
1564,Sous le Ciel de Paris,Jacky Terrasson,244.867,79.554,0.0706
62,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",225.347,79.638,0.671
1366,I'll Pick You Up,Standing Egg,221.293,79.871,0.261
237,Counting,Autre Ne Veut,221.84,79.925,0.299
855,Episode I - Duel of The Fates,John Williams,254.36,79.952,0.217
928,Episode I - Duel of The Fates,John Williams,254.36,79.952,0.217
224,Words I Don't Remember,How To Dress Well,378.253,80.004,0.196
1362,Stardust,Kevin Oh,246.457,80.013,0.431
79,Words I Don't Remember,How To Dress Well,378.253,80.015,0.194
1057,Close,Ryan Kinder,178.027,80.018,0.759
903,Fanfare,Magic City Hippies,264,80.021,0.715
7,Childs Play,Drake,241.4,80.03,0.308
634,Levitate,Paper Diamond,200.015,80.032,0.52
1797,Force of Nature,Bea Miller,241.813,80.035,0.513
975,GOT IT GOOD,KAYTRANADA,228.147,80.04,0.325
496,Didn't You,Cloud Nothings,237.947,80.047,0.681
1371,Monster,PALGOU,263.979,80.117,0.223
954,Truths & Rights,Johnny Osbourne,181.867,80.126,0.869
1182,Location,Khalid,219.08,80.126,0.322
1972,Fog On the Tyne,Lindisfarne,203.067,80.171,0.707
574,Kenosha,Swearin',162.168,80.205,0.664
1463,Riot Call (feat. Nevve),QUIX,199.405,80.329,0.564
362,Everybody Loves The Sunshine,Roy Ayers Ubiquity,237.68,80.694,0.538
854,A Day In The Life - feat. RZA  The Mars Volta & AG + Good Hygiene feat. Tim Meadows Amended CD Version,Handsome Boy Modeling School,336.8,80.935,0.598
1800,Why Can't I?,Liz Phair,208.36,80.958,0.238
1478,I'm the One,DJ Khaled,288.877,80.984,0.811
1042,All On Me,Devin Dawson,227.573,80.996,0.692
521,Sure Thing,Miguel,195.373,81,0.508
464,You Don't Love Me (No No No),Dawn Penn,213.28,81.004,0.753
1696,Crush,David Archuleta,212.013,81.021,0.458
1291,Worthy Of Your Name - Studio,Passion,307.68,81.049,0.171
60,California Nights,Best Coast,311.36,81.108,0.136
792,Passing Out Pieces,Mac Demarco,167.091,81.179,0.44
1808,"Beauty and the Beast - From ""Beauty and the Beast""",Ariana Grande,227.928,81.34,0.246
1381,지금 여기  이곳에서 (Duet With 루시아)   지금 여기  이곳에서,Sentimental Scenery,249.727,81.625,0.267
887,Way Down We Go,Kaleo,219.56,81.663,0.262
81,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,187.21,81.678,0.733
287,Skyscraper,Elephant,207.186,81.805,0.365
1397,All in Vain,Mot,236.96,81.856,0.47
1805,Dear No One,Tori Kelly,197.847,81.945,0.489
1193,Clique,JAY Z,293.533,81.966,0.304
289,The New International Sound  Pt. 2 (feat. M.I.A.),GENER8ION,208.613,81.971,0.264
503,Slow Down,Poolside,285.211,81.997,0.343
382,Flex (Ooh  Ooh  Ooh),Rich Homie Quan,176.675,81.998,0.904
1030,The Weekend,Brantley Gilbert,187.76,82.022,0.703
65,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,223.72,82.118,0.785
1195,Trumpets,Jason Derulo,217.419,82.142,0.63
1531,I'm a Fool to Want You,Passport Quartet,66.762,82.313,0.276
1701,Too Little  Too Late,JoJo,221.72,82.353,0.72
1159,Whippin (feat. Felix Snow),Kiiara,160.597,82.53,0.676
513,About to Die,Dirty Projectors,239.36,82.553,0.794
738,R U With Me,ASTR,264.384,82.66,0.338
1296,Eye of the Storm (feat. Gabe Real),Ryan Stevenson,331.613,82.673,0.547
430,Are you... Can you... Were you? (Felt),Shabazz Palaces,287.827,82.738,0.207
1952,Can I Touch You...There?,Michael Bolton,315.787,82.757,0.81
543,Cloud Atlas End Title,Tom Tykwer,476.164,82.758,0.0745
1765,Two Wrongs,Wyclef Jean,230.733,82.897,0.415
80,To The Top,Twin Shadow,196.933,82.925,0.174
350,Unbreakable,Janet Jackson,218.342,83.013,0.44
132,Kush,Lil Wayne,221.96,83.021,0.659
805,Just Wanna Love You Girl,Epsilons,82.893,83.072,0.72
1015,And Dat (Ft. Stormzy),Bonkaz,195.419,83.204,0.683
1399,물 Water,권나무 Kwon Tree,293.458,83.625,0.33
1040,If I Told You,Darius Rucker,214.507,83.886,0.293
1028,Cut Your Groove,Charlie Worsham,251.067,83.948,0.797
